pid,name,party,district,status,rank,wiki,tw,hp
P002,青木 ひとみ,参政党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/青木ひとみ,,https://sanseito.jp/
P010,浅田 眞澄美,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/浅田眞澄美,,https://www.google.com/search?q=%E6%B5%85%E7%94%B0%20%E7%9C%9E%E6%BE%84%E7%BE%8E%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P016,阿部 圭史,日本維新の会,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/阿部圭史,,https://www.google.com/search?q=%E9%98%BF%E9%83%A8%20%E5%9C%AD%E5%8F%B2%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P030,石川 勝,参政党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/石川勝,,https://www.google.com/search?q=%E7%9F%B3%E5%B7%9D%20%E5%8B%9D%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P031,石坂 太,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/石坂太,,https://www.google.com/search?q=%E7%9F%B3%E5%9D%82%20%E5%A4%AA%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P034,石橋 林太郎,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/石橋林太郎,https://x.com/R_Ishibashi0306,https://ishibashi-rintaro.com/
P036,石原 正敬,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/石原正敬,https://x.com/masa_ishihara,https://ishihara-masataka.com/
P038,一谷 勇一郎,日本維新の会,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/一谷勇一郎,https://x.com/ichitani_yuichi,
P041,井戸 まさえ,国民民主党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/井戸まさえ,https://x.com/idomasae,https://idomasae.com/
P042,伊藤 恵介,参政党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/伊藤恵介,,https://www.google.com/search?q=%E4%BC%8A%E8%97%A4%20%E6%81%B5%E4%BB%8B%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P043,伊藤 聡,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/伊藤聡,,https://www.google.com/search?q=%E4%BC%8A%E8%97%A4%20%E8%81%A1%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P050,稲葉 大輔,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/稲葉大輔,,https://www.google.com/search?q=%E7%A8%B2%E8%91%89%20%E5%A4%A7%E8%BC%94%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P051,犬飼 明佳,中道改革連合,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/犬飼明佳,https://x.com/inukai_akiyoshi,https://inukai-akiyoshi.com/
P058,井原 隆,自民党,参議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/井原隆,,https://www.google.com/search?q=%E4%BA%95%E5%8E%9F%20%E9%9A%86%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P060,今岡 植,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/今岡植,,https://www.google.com/search?q=%E4%BB%8A%E5%B2%A1%20%E6%A4%8D%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P061,岩崎 比菜,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/岩崎比菜,,https://www.google.com/search?q=%E5%B2%A9%E5%B4%8E%20%E6%AF%94%E8%8F%9C%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P066,上田 英俊,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/上田英俊,https://x.com/uetahidetoshi,https://ueta-hidetoshi.com/
P069,上原 正裕,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/上原正裕,,https://www.google.com/search?q=%E4%B8%8A%E5%8E%9F%20%E6%AD%A3%E8%A3%95%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P071,宇佐美 登,チームみらい,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/宇佐美登,https://x.com/usamioffice,https://usami-noboru.com/
P072,臼木 秀剛,国民民主党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/臼木秀剛,https://x.com/usuki_hidetake,https://usuki-hidetake.com/
P073,内山 こう,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/内山こう,,https://www.google.com/search?q=%E5%86%85%E5%B1%B1%20%E3%81%93%E3%81%86%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P079,衛藤 博昭,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/衛藤博昭,,https://www.google.com/search?q=%E8%A1%9B%E8%97%A4%20%E5%8D%9A%E6%98%AD%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P085,大島 敦,中道改革連合,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/大島敦,,https://www.google.com/search?q=%E5%A4%A7%E5%B3%B6%20%E6%95%A6%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P088,大西 洋平,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/大西洋平,,https://www.google.com/search?q=%E5%A4%A7%E8%A5%BF%20%E6%B4%8B%E5%B9%B3%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P090,大森 江里子,中道改革連合,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/大森江里子,,https://www.google.com/search?q=%E5%A4%A7%E6%A3%AE%20%E6%B1%9F%E9%87%8C%E5%AD%90%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P092,岡野 純子,国民民主党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/岡野純子,,https://www.google.com/search?q=%E5%B2%A1%E9%87%8E%20%E7%B4%94%E5%AD%90%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P094,岡本 康宏,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/岡本康宏,,https://www.google.com/search?q=%E5%B2%A1%E6%9C%AC%20%E5%BA%B7%E5%AE%8F%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P098,長田 紘一郎,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/長田紘一郎,,https://www.google.com/search?q=%E9%95%B7%E7%94%B0%20%E7%B4%98%E4%B8%80%E9%83%8E%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P100,小竹 凱,国民民主党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/小竹凱,,https://www.google.com/search?q=%E5%B0%8F%E7%AB%B9%20%E5%87%B1%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P105,尾花 瑛仁,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/尾花瑛仁,,https://www.google.com/search?q=%E5%B0%BE%E8%8A%B1%20%E7%91%9B%E4%BB%81%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P145,木下 敏之,参政党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/木下敏之,,https://www.google.com/search?q=%E6%9C%A8%E4%B8%8B%20%E6%95%8F%E4%B9%8B%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P149,金城 泰邦,中道改革連合,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/金城泰邦,,https://www.google.com/search?q=%E9%87%91%E5%9F%8E%20%E6%B3%B0%E9%82%A6%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P150,草間 剛,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/草間剛,,https://www.google.com/search?q=%E8%8D%89%E9%96%93%20%E5%89%9B%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P152,工藤 聖子,参政党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/工藤聖子,,https://www.google.com/search?q=%E5%B7%A5%E8%97%A4%20%E8%81%96%E5%AD%90%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P157,栗原 渉,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/栗原渉,,https://www.google.com/search?q=%E6%A0%97%E5%8E%9F%20%E6%B8%89%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P158,黒崎 祐一,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/黒崎祐一,,https://www.google.com/search?q=%E9%BB%92%E5%B4%8E%20%E7%A5%90%E4%B8%80%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P159,黒田 征樹,日本維新の会,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/黒田征樹,,https://www.google.com/search?q=%E9%BB%92%E7%94%B0%20%E5%BE%81%E6%A8%B9%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P160,小池 正昭,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/小池正昭,,https://www.google.com/search?q=%E5%B0%8F%E6%B1%A0%20%E6%AD%A3%E6%98%AD%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P165,こうらい啓一郎,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/こうらい啓一郎,,https://www.google.com/search?q=%E3%81%93%E3%81%86%E3%82%89%E3%81%84%E5%95%93%E4%B8%80%E9%83%8E%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P172,許斐 亮太郎,国民民主党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/許斐亮太郎,,https://www.google.com/search?q=%E8%A8%B1%E6%96%90%20%E4%BA%AE%E5%A4%AA%E9%83%8E%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P174,小林 修平,チームみらい,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/小林修平,,https://www.google.com/search?q=%E5%B0%8F%E6%9E%97%20%E4%BF%AE%E5%B9%B3%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P178,今 洋佑,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/今洋佑,,https://www.google.com/search?q=%E4%BB%8A%20%E6%B4%8B%E4%BD%91%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P180,近藤 雅彦,国民民主党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/近藤雅彦,,https://www.google.com/search?q=%E8%BF%91%E8%97%A4%20%E9%9B%85%E5%BD%A6%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P181,斉木 武志,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/斉木武志,,https://www.google.com/search?q=%E6%96%89%E6%9C%A8%20%E6%AD%A6%E5%BF%97%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P182,西條 昌良,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/西條昌良,,https://www.google.com/search?q=%E8%A5%BF%E6%A2%9D%20%E6%98%8C%E8%89%AF%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P187,斉藤 りえ,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/斉藤りえ,,https://www.google.com/search?q=%E6%96%89%E8%97%A4%20%E3%82%8A%E3%81%88%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P190,坂本 竜太郎,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/坂本竜太郎,,https://www.google.com/search?q=%E5%9D%82%E6%9C%AC%20%E7%AB%9C%E5%A4%AA%E9%83%8E%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P193,佐々木 真琴,国民民主党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/佐々木真琴,,https://www.google.com/search?q=%E4%BD%90%E3%80%85%E6%9C%A8%20%E7%9C%9F%E7%90%B4%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P195,佐藤 主迪,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/佐藤主迪,,https://www.google.com/search?q=%E4%BD%90%E8%97%A4%20%E4%B8%BB%E8%BF%AA%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P203,島田 智明,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/島田智明,,https://www.google.com/search?q=%E5%B3%B6%E7%94%B0%20%E6%99%BA%E6%98%8E%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P204,島村 かおる,参政党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/島村かおる,,https://www.google.com/search?q=%E5%B3%B6%E6%9D%91%20%E3%81%8B%E3%81%8A%E3%82%8B%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P207,白坂 亜紀,自民党,参議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/白坂亜紀,,https://www.google.com/search?q=%E7%99%BD%E5%9D%82%20%E4%BA%9C%E7%B4%80%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P216,鈴木 拓海,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/鈴木拓海,,https://www.google.com/search?q=%E9%88%B4%E6%9C%A8%20%E6%8B%93%E6%B5%B7%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P219,鈴木 美香,参政党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/鈴木美香,,https://www.google.com/search?q=%E9%88%B4%E6%9C%A8%20%E7%BE%8E%E9%A6%99%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P221,須田 英太郎,チームみらい,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/須田英太郎,,https://www.google.com/search?q=%E9%A0%88%E7%94%B0%20%E8%8B%B1%E5%A4%AA%E9%83%8E%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P225,世古 万美子,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/世古万美子,,https://www.google.com/search?q=%E4%B8%96%E5%8F%A4%20%E4%B8%87%E7%BE%8E%E5%AD%90%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P228,園崎 弘道,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/園崎弘道,,https://www.google.com/search?q=%E5%9C%92%E5%B4%8E%20%E5%BC%98%E9%81%93%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P234,高沢 一基,国民民主党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/高沢一基,,https://www.google.com/search?q=%E9%AB%98%E6%B2%A2%20%E4%B8%80%E5%9F%BA%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P236,高橋 祐介,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/高橋祐介,,https://www.google.com/search?q=%E9%AB%98%E6%A9%8B%20%E7%A5%90%E4%BB%8B%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P237,高見 康裕,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/高見康裕,,https://www.google.com/search?q=%E9%AB%98%E8%A6%8B%20%E5%BA%B7%E8%A3%95%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P275,とかしきなおみ,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/とかしきなおみ,,https://www.google.com/search?q=%E3%81%A8%E3%81%8B%E3%81%97%E3%81%8D%E3%81%AA%E3%81%8A%E3%81%BF%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P278,永岡 桂子,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/永岡桂子,,https://www.google.com/search?q=%E6%B0%B8%E5%B2%A1%20%E6%A1%82%E5%AD%90%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P279,中川こういち,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/中川こういち,,https://www.google.com/search?q=%E4%B8%AD%E5%B7%9D%E3%81%93%E3%81%86%E3%81%84%E3%81%A1%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
